Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4406,1589,56.59666099999999,0.2,64.74518823623657
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1160,1210,4416,1425,56.59666099999999,0.2,65.014719247818
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4249,3097,56.10875874999999,0.2,79.33305597305298
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4269,3109,56.10875874999999,0.2,79.46458268165588
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4272,3085,56.10875874999999,0.2,79.58044910430908
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4273,3121,56.10875874999999,0.2,79.79629015922546
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4275,3073,56.10875874999999,0.2,79.91219449043274
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4275,3130,56.10875874999999,0.2,80.02806091308594
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4278,3059,56.10875874999999,0.2,80.15850687026978
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4292,3045,56.10875874999999,0.2,80.35057187080383
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4304,3145,56.10875874999999,0.2,80.5289192199707
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4329,3034,56.10875874999999,0.2,80.77819514274597
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4357,3154,56.10875874999999,0.2,81.09880924224854
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4374,3163,56.10875874999999,0.2,81.38391828536987
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4375,3023,56.10875874999999,0.2,81.49981093406677
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1150,1210,4382,3013,56.10875874999999,0.2,81.68475914001465
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2386,3069,56.10875874999999,0.2,85.52644538879395
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2406,3081,56.10875874999999,0.2,85.6579487323761
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2406,3107,56.10875874999999,0.2,85.78034448623657
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2410,3092,56.10875874999999,0.2,85.8962049484253
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2415,3046,56.10875874999999,0.2,86.04339742660522
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2416,3058,56.10875874999999,0.2,86.1657989025116
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2419,3117,56.10875874999999,0.2,86.28180170059204
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2426,3033,56.10875874999999,0.2,86.41324520111084
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2429,3127,56.10875874999999,0.2,86.56692409515381
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2434,3021,56.10875874999999,0.2,86.6984179019928
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2438,3136,56.10875874999999,0.2,86.84559774398804
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2454,3145,56.10875874999999,0.2,87.061696767807
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2457,3008,56.10875874999999,0.2,87.1997880935669
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0130.tif,1150,1210,2469,2997,56.10875874999999,0.2,87.41591835021973
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4333,1502,56.10875874999999,0.2,91.3614149093628
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4342,1492,56.10875874999999,0.2,91.49290251731873
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4343,1512,56.10875874999999,0.2,91.64652228355408
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4345,1479,56.10875874999999,0.2,91.76238012313843
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4345,1521,56.10875874999999,0.2,91.89385890960693
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4348,1469,56.10875874999999,0.2,92.02538323402405
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4355,1459,56.10875874999999,0.2,92.1947135925293
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4356,1530,56.10875874999999,0.2,92.33279991149902
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4363,1539,56.10875874999999,0.2,92.51358008384705
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4365,1449,56.10875874999999,0.2,92.6334936618805
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4378,1439,56.10875874999999,0.2,92.81192255020142
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4385,1548,56.10875874999999,0.2,92.98115634918213
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4406,1429,56.10875874999999,0.2,93.25070548057556
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4410,1557,56.10875874999999,0.2,93.55117654800415
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0131.tif,1150,1210,4417,1418,56.10875874999999,0.2,93.75166463851929
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1175,1190,4269,3142,56.38093562499999,0.2,104.73358225822449
Filename,w,h,x2,y2,size,threshold,time
D:/digit/distribution_digitizer_students-main//data/input\0128.tif,1175,1190,4272,3151,56.38093562499999,0.2,104.91211867332458
Filename,w,h,x2,y2,size,threshold,time
